delivery_id,order_id,delivery_status,delivery_time,rider_id
1,785,Not Delivered,23:46:15,8
2,8791,Order,19:09:21,17
3,3506,Order,20:01:13,23
4,3376,Not Delivered,12:57:51,15
5,7600,Order,00:57:12,18
6,3382,Not Delivered,07:13:51,23
7,8141,Not Delivered,21:38:50,10
8,402,Order,17:50:14,25
9,811,Not Delivered,05:32:20,12
10,2155,Not Delivered,23:38:08,24
11,2207,Order,21:42:23,7
12,94,Order,22:09:12,4
13,8850,Order,07:46:37,31
14,3975,Not Delivered,08:06:44,29
15,9970,Delivered,01:35:46,24
16,4873,Order,17:15:21,20
17,1888,Delivered,12:00:42,30
18,1141,Delivered,21:32:55,15
19,7569,Delivered,17:00:46,10
20,7940,Order,05:23:31,32
21,2895,Delivered,10:46:52,28
22,3675,Not Delivered,12:06:29,33
23,6254,Not Delivered,19:57:08,25
24,7993,Not Delivered,08:28:48,33
25,929,Not Delivered,21:47:58,33
26,8684,Not Delivered,04:11:21,31
27,6403,Not Delivered,12:02:57,17
28,3507,Not Delivered,16:23:15,4
29,9691,Not Delivered,17:17:21,29
30,8655,Delivered,03:49:10,32
31,4298,Order,15:31:20,34
32,1510,Order,01:09:36,20
33,8371,Order,01:41:12,10
34,6002,Order,15:54:32,10
35,7680,Order,17:15:34,24
36,6169,Not Delivered,18:54:32,8
37,6614,Not Delivered,09:53:50,7
38,5232,Order,08:55:29,11
39,5442,Order,18:39:24,32
40,6279,Order,05:49:47,24
41,8539,Not Delivered,10:48:32,16
42,7227,Order,22:29:03,19
43,4267,Not Delivered,20:13:46,29
44,1326,Order,22:46:27,25
45,6818,Not Delivered,02:17:55,17
46,1715,Not Delivered,01:25:21,12
47,8914,Delivered,09:50:17,31
48,8916,Not Delivered,00:47:17,9
49,9288,Delivered,15:10:11,16
50,8744,Delivered,21:27:29,21
51,4254,Order,10:02:28,10
52,4616,Order,22:55:32,21
53,1162,Order,15:06:24,7
54,5944,Order,13:49:41,1
55,5447,Order,20:41:17,17
56,4562,Not Delivered,06:56:59,29
57,9979,Not Delivered,10:11:20,12
58,7293,Order,20:02:23,7
59,1028,Order,01:46:28,26
60,2174,Delivered,16:26:40,16
61,3591,Not Delivered,21:55:39,11
62,9615,Order,14:44:42,6
63,7326,Not Delivered,18:22:11,34
64,7471,Not Delivered,07:45:58,27
