order_id,customer_id,restaurant_id,order_item,order_date,order_time,order_status,total_amount
1,3,67,Pasta Alfredo,30/09/23,05:34:35,Cancelled,285
2,20,5,Prawn Masala,10/02/23,13:03:34,Cancelled,456
3,31,42,Chole Bhature,15/04/23,10:40:56,Pending,509
4,32,33,Pasta Alfredo,09/10/23,07:45:08,Cancelled,154
5,15,46,Pasta Alfredo,03/09/24,10:48:52,Cancelled,329
6,19,39,Masala Dosa,11/06/24,22:06:15,Pending,167
7,24,30,Chole Bhature,31/12/23,23:39:01,Cancelled,218
8,32,19,Samosa,11/05/23,03:48:57,Completed,506
9,29,25,Paneer Butter Masala,02/07/23,06:29:33,Pending,388
10,19,44,Samosa,15/03/24,12:21:39,Cancelled,390
11,13,34,Samosa,24/07/24,21:23:39,Cancelled,552
12,4,32,Pasta Alfredo,18/01/23,04:18:47,Cancelled,397
13,19,16,Burger,13/05/24,07:18:37,Pending,408
14,18,9,Masala Dosa,15/05/24,16:18:51,Pending,255
15,15,14,Chole Bhature,28/01/23,04:37:48,Cancelled,402
16,1,67,Samosa,24/03/23,22:11:53,Completed,430
17,27,38,Paneer Butter Masala,10/02/23,16:41:30,Pending,543
18,27,17,Pasta Alfredo,01/07/23,02:40:44,Completed,414
19,13,3,Mutton Rogan Josh,08/07/23,13:53:39,Completed,506
20,27,5,Paneer Butter Masala,12/03/24,14:08:39,Completed,266
21,12,21,Prawn Masala,06/08/23,08:12:20,Pending,526
22,12,66,Pasta Alfredo,03/09/23,09:36:46,Pending,323
23,22,59,Paneer Lababdar,29/08/23,21:21:44,Cancelled,217
24,26,27,Paneer Lababdar,18/06/23,08:37:35,Pending,529
25,28,17,Paneer Lababdar,10/06/23,04:39:13,Cancelled,200
26,11,13,Chicken Biryani,23/10/24,21:17:49,Cancelled,399
27,25,23,Paneer Lababdar,18/05/24,09:44:21,Pending,490
28,30,13,Paneer Butter Masala,26/06/24,16:16:42,Completed,405
29,15,34,Pasta Alfredo,01/01/24,14:45:19,Cancelled,330
30,18,49,Pasta Alfredo,09/10/24,20:58:18,Completed,539
31,6,26,Chole Bhature,01/07/23,17:04:49,Cancelled,301
32,32,14,Egg Curry,12/01/23,16:17:12,Pending,226
33,29,33,Masala Dosa,29/06/24,02:30:28,Completed,378
34,28,6,Paneer Lababdar,01/03/24,01:18:34,Cancelled,530
35,29,44,Samosa,05/04/24,15:46:23,Completed,150
36,21,27,Chicken Biryani,02/02/24,00:03:38,Cancelled,264
37,5,36,Pasta Alfredo,26/12/23,10:41:16,Completed,421
38,25,60,Paneer Butter Masala,23/01/23,20:36:59,Completed,341
39,30,20,Paneer Lababdar,26/10/24,05:54:01,Pending,187
40,22,3,Pasta Alfredo,10/08/24,05:22:31,Cancelled,430
41,11,2,Samosa,09/05/24,17:02:34,Pending,178
42,13,20,Prawn Masala,09/09/24,02:46:33,Cancelled,519
43,6,4,Burger,07/01/23,17:52:59,Completed,460
44,3,51,Paneer Butter Masala,01/06/23,02:46:02,Completed,550
45,2,2,Chole Bhature,03/12/23,04:20:19,Cancelled,293
46,15,7,Masala Dosa,15/06/23,05:53:16,Completed,581
47,24,61,Mutton Rogan Josh,28/04/24,15:46:54,Pending,251
48,6,52,Egg Curry,23/04/24,17:41:06,Completed,548
49,22,65,Paneer Lababdar,25/03/23,10:00:08,Pending,448
50,25,54,Prawn Masala,28/08/23,16:38:08,Pending,189
51,7,53,Samosa,15/02/24,00:47:25,Completed,424
52,3,27,Prawn Masala,04/01/24,17:34:37,Completed,375
53,8,66,Pasta Alfredo,09/05/23,02:30:11,Pending,580
54,19,21,Paneer Butter Masala,29/06/24,01:05:13,Cancelled,205
55,28,45,Burger,05/12/23,16:45:42,Completed,439
56,4,42,Prawn Masala,28/04/24,09:26:03,Cancelled,299
57,8,13,Paneer Lababdar,07/12/23,18:13:12,Completed,309
58,6,49,Paneer Butter Masala,07/02/23,19:24:20,Cancelled,159
59,22,68,Egg Curry,01/01/24,07:07:39,Pending,248
60,23,37,Masala Dosa,23/10/24,10:26:32,Pending,449
61,10,41,Mutton Rogan Josh,09/10/23,14:39:26,Cancelled,425
62,32,48,Paneer Butter Masala,03/05/24,17:22:27,Completed,569
63,9,65,Mutton Rogan Josh,08/09/23,11:38:35,Cancelled,432
64,19,11,Paneer Lababdar,30/12/24,10:52:31,Cancelled,371
65,32,45,Paneer Lababdar,17/08/23,03:55:25,Cancelled,183
66,12,42,Masala Dosa,25/11/23,21:27:40,Cancelled,192
67,21,24,Burger,18/09/23,11:00:39,Cancelled,338
68,13,66,Mutton Rogan Josh,11/11/24,12:14:32,Completed,397
69,10,23,Chicken Biryani,16/08/24,12:35:17,Pending,265
70,32,35,Masala Dosa,19/01/23,01:49:16,Cancelled,202
71,11,13,Egg Curry,28/04/24,10:48:32,Pending,566
72,29,12,Pasta Alfredo,11/07/23,12:06:30,Completed,233
73,15,42,Paneer Lababdar,19/01/23,20:35:52,Pending,400
74,19,68,Egg Curry,11/01/24,01:21:40,Completed,595
75,10,50,Paneer Butter Masala,12/10/24,18:34:38,Cancelled,190
76,28,61,Masala Dosa,14/07/23,22:07:14,Cancelled,166
77,16,16,Masala Dosa,01/02/24,22:19:34,Pending,512
78,8,21,Paneer Butter Masala,15/11/23,10:10:36,Completed,432
79,28,43,Chole Bhature,08/09/24,06:45:14,Completed,152
80,28,58,Paneer Lababdar,04/05/23,03:32:10,Completed,461
81,12,52,Pasta Alfredo,27/05/24,01:36:59,Completed,187
82,3,61,Chicken Biryani,30/01/23,03:30:55,Pending,294
83,15,10,Egg Curry,07/04/23,06:42:03,Cancelled,545
84,31,38,Pasta Alfredo,13/01/24,17:05:15,Pending,500
85,23,21,Masala Dosa,07/01/23,16:07:01,Cancelled,347
86,31,55,Paneer Lababdar,29/03/23,01:00:03,Cancelled,205
87,5,17,Paneer Butter Masala,18/01/23,16:42:13,Completed,547
88,17,20,Chole Bhature,07/02/24,09:29:28,Pending,316
89,7,10,Prawn Masala,30/04/24,01:07:32,Pending,365
90,27,32,Masala Dosa,23/05/24,20:25:44,Cancelled,270
91,9,61,Pasta Alfredo,14/11/23,14:29:05,Cancelled,203
92,3,24,Prawn Masala,18/07/24,22:39:58,Pending,244
93,5,32,Paneer Butter Masala,31/01/23,09:46:41,Pending,263
94,13,11,Chole Bhature,18/02/24,16:03:11,Pending,424
95,14,23,Paneer Lababdar,07/07/23,06:49:25,Pending,550
96,6,38,Masala Dosa,28/10/24,00:36:56,Completed,156
97,7,55,Burger,13/05/24,17:49:15,Completed,267
98,7,61,Chole Bhature,27/11/24,10:38:05,Pending,418
99,18,57,Paneer Butter Masala,18/09/23,10:09:25,Cancelled,392
100,16,19,Paneer Lababdar,05/12/24,06:52:03,Completed,467
101,19,39,Pasta Alfredo,12/07/24,05:06:40,Completed,366
102,31,26,Samosa,14/10/23,14:49:23,Pending,344
103,27,56,Masala Dosa,13/11/24,13:09:14,Pending,412
104,17,35,Mutton Rogan Josh,13/08/24,14:57:16,Pending,322
105,17,60,Paneer Butter Masala,28/10/24,03:05:33,Completed,543
106,14,29,Masala Dosa,05/05/23,20:27:22,Cancelled,473
107,22,10,Masala Dosa,02/07/24,18:25:32,Completed,177
108,13,39,Pasta Alfredo,08/01/23,20:52:54,Pending,343
109,5,44,Samosa,01/03/23,06:49:46,Pending,272
110,15,58,Chole Bhature,30/12/23,00:47:28,Completed,214
111,10,50,Pasta Alfredo,23/01/24,23:42:45,Cancelled,365
112,20,2,Egg Curry,16/02/24,20:59:08,Completed,271
113,5,10,Paneer Butter Masala,08/11/24,10:39:32,Pending,222
114,8,17,Masala Dosa,27/09/23,16:50:43,Pending,527
115,10,43,Pasta Alfredo,28/07/23,01:40:15,Cancelled,581
116,28,49,Egg Curry,10/01/24,17:19:54,Completed,295
117,5,34,Mutton Rogan Josh,29/01/24,05:24:00,Completed,528
118,11,48,Paneer Lababdar,23/03/24,06:44:48,Cancelled,281
119,19,4,Burger,03/09/24,09:04:05,Completed,492
120,10,54,Samosa,27/05/23,02:25:46,Completed,294
121,16,22,Paneer Lababdar,20/05/23,05:21:14,Cancelled,218
122,28,3,Chicken Biryani,31/07/24,02:36:10,Pending,364
123,18,27,Paneer Butter Masala,22/09/24,15:51:45,Completed,528
124,3,22,Egg Curry,01/09/24,20:53:04,Pending,418
125,28,31,Paneer Lababdar,19/08/24,16:50:24,Completed,265
126,18,47,Masala Dosa,05/09/24,20:21:41,Cancelled,535
127,12,7,Paneer Butter Masala,17/03/23,05:36:34,Pending,327
128,10,16,Paneer Lababdar,05/04/24,04:11:20,Completed,297
129,23,42,Prawn Masala,22/08/23,01:24:24,Completed,550
130,27,42,Masala Dosa,30/07/23,15:47:38,Pending,580
131,24,49,Chicken Biryani,14/09/23,22:39:09,Completed,420
132,8,53,Egg Curry,21/05/23,01:10:41,Pending,217
133,19,37,Egg Curry,19/03/24,09:32:20,Cancelled,313
134,12,22,Egg Curry,23/02/24,17:55:40,Pending,385
135,11,25,Samosa,04/01/23,17:49:34,Cancelled,562
136,31,57,Prawn Masala,19/08/23,00:46:12,Cancelled,301
137,13,34,Paneer Lababdar,23/02/23,18:48:39,Completed,537
138,3,61,Pasta Alfredo,29/09/23,17:01:12,Pending,476
139,9,24,Paneer Butter Masala,20/09/24,20:07:17,Cancelled,297
140,17,63,Pasta Alfredo,12/04/24,04:24:52,Pending,502
141,12,40,Burger,31/12/24,15:20:56,Completed,489
142,24,40,Paneer Lababdar,16/03/24,03:26:31,Pending,235
143,15,55,Pasta Alfredo,10/05/24,08:38:45,Completed,550
144,3,21,Paneer Butter Masala,28/11/23,18:18:00,Completed,544
145,11,14,Paneer Lababdar,17/11/23,01:46:08,Pending,161
146,17,38,Mutton Rogan Josh,16/02/23,06:14:30,Cancelled,293
147,28,22,Prawn Masala,20/12/24,06:32:58,Pending,408
